time,ax,ay,az,atotal
4.927,0.05,-0.03,-0.03,0.07
4.937,0.01,0.04,-0.03,0.05
4.947,-0.00,0.07,0.00,0.07
4.957,-0.01,0.04,0.04,0.06
4.968,-0.01,0.01,0.05,0.05
4.978,0.04,-0.02,0.04,0.06
4.988,0.07,-0.03,0.01,0.08
4.998,0.08,0.01,-0.02,0.08
5.008,0.10,0.04,-0.05,0.12
5.018,0.06,0.04,-0.03,0.08
5.028,0.01,0.01,-0.01,0.02
5.038,-0.00,-0.02,0.05,0.05
5.048,0.01,-0.08,0.07,0.11
5.058,0.04,-0.08,0.06,0.11
5.068,0.07,-0.05,0.05,0.10
5.078,0.10,-0.04,0.07,0.13
5.088,0.09,-0.02,0.07,0.11
5.098,0.05,-0.02,0.08,0.10
5.108,0.08,-0.05,0.08,0.13
5.118,0.15,-0.06,0.05,0.17
5.128,0.17,-0.05,0.03,0.18
5.138,0.17,-0.02,0.02,0.17
5.148,0.14,0.02,0.01,0.15
5.158,0.14,0.01,0.02,0.14
5.169,0.12,-0.03,0.05,0.13
5.179,0.13,-0.07,0.07,0.17
5.189,0.13,-0.08,0.05,0.16
5.199,0.10,-0.07,0.01,0.12
5.209,0.06,-0.06,-0.03,0.09
5.219,0.04,-0.01,-0.05,0.06
5.229,0.04,0.01,-0.06,0.08
5.239,0.05,0.01,-0.06,0.08
5.249,0.05,-0.01,-0.03,0.07
5.259,0.05,-0.02,-0.02,0.06
5.269,0.07,0.00,-0.01,0.07
5.279,0.11,-0.03,0.01,0.12
5.289,0.12,-0.04,0.02,0.13
5.299,0.11,-0.03,0.05,0.12
5.309,0.10,-0.03,0.06,0.12
5.319,0.08,-0.03,0.05,0.10
5.329,0.07,-0.03,0.02,0.08
5.340,0.08,-0.04,-0.01,0.10
5.350,0.09,-0.03,-0.02,0.10
5.360,0.10,-0.03,-0.01,0.10
5.370,0.06,-0.02,0.03,0.07
5.380,0.07,0.02,0.08,0.11
5.390,0.10,0.00,0.10,0.14
5.400,0.07,-0.04,0.08,0.11
5.410,0.06,-0.06,0.06,0.11
5.420,0.09,-0.07,0.05,0.12
5.430,0.10,-0.04,0.06,0.12
5.440,0.10,-0.03,0.07,0.13
5.451,0.12,-0.01,0.06,0.13
5.460,0.12,0.01,0.02,0.12
5.470,0.07,-0.03,0.02,0.08
5.480,0.02,-0.05,0.05,0.08
