time,ax,ay,az,atotal
3.037,0.00,0.00,-0.01,0.01
3.047,-0.02,0.02,0.00,0.02
3.057,-0.03,0.01,-0.00,0.03
3.067,-0.03,0.00,-0.01,0.03
3.077,-0.03,0.00,-0.01,0.03
3.087,-0.03,0.02,0.01,0.03
3.097,-0.01,0.03,0.01,0.03
3.107,0.02,0.04,-0.00,0.05
3.117,-0.00,0.05,-0.04,0.06
3.127,-0.01,0.05,-0.04,0.06
3.138,0.02,0.03,-0.03,0.04
3.148,0.06,-0.02,0.01,0.06
3.158,0.11,-0.06,0.02,0.12
3.168,0.16,-0.07,0.03,0.17
3.178,0.20,-0.06,0.05,0.22
3.188,0.18,-0.04,0.07,0.20
3.198,0.16,-0.04,0.07,0.18
3.208,0.09,-0.04,0.09,0.13
3.218,0.07,-0.03,0.10,0.13
3.228,0.04,-0.04,0.08,0.10
3.238,0.01,-0.02,0.07,0.07
3.248,-0.02,-0.00,0.06,0.07
3.258,-0.03,-0.01,0.08,0.09
3.268,-0.05,-0.03,0.12,0.14
3.278,-0.02,-0.03,0.14,0.14
3.288,0.02,-0.04,0.10,0.11
3.298,0.04,-0.03,0.03,0.06
3.308,0.03,-0.03,-0.03,0.05
3.319,0.00,-0.04,-0.04,0.05
3.329,0.00,0.00,-0.03,0.03
3.339,0.01,0.02,-0.01,0.03
3.349,0.00,0.05,0.02,0.05
3.359,-0.01,0.04,0.01,0.04
3.369,-0.01,-0.00,-0.00,0.01
3.379,-0.00,-0.03,-0.03,0.04
3.389,0.01,-0.04,-0.07,0.08
3.399,0.02,-0.04,-0.05,0.07
3.409,0.06,-0.02,-0.04,0.08
3.419,0.08,0.02,-0.06,0.10
3.429,0.07,0.04,-0.07,0.10
3.439,0.04,0.04,-0.06,0.08
3.449,0.01,0.05,-0.08,0.09
3.459,-0.02,0.03,-0.06,0.07
3.469,-0.01,0.00,-0.05,0.05
3.479,0.01,-0.01,-0.03,0.03
3.489,0.03,-0.02,-0.02,0.04
3.499,0.04,-0.00,-0.03,0.05
3.509,0.02,-0.02,-0.01,0.03
3.520,-0.01,-0.02,0.04,0.05
3.530,-0.01,-0.02,0.04,0.05
3.540,-0.02,-0.01,0.02,0.03
3.550,-0.02,-0.00,0.01,0.03
3.560,-0.00,0.01,-0.02,0.02
3.570,-0.01,0.02,-0.02,0.03
3.580,0.02,-0.00,-0.05,0.05
3.590,0.03,0.00,-0.03,0.04
3.600,0.05,-0.00,-0.02,0.05
3.610,0.06,-0.01,-0.02,0.06
3.620,0.04,-0.01,-0.01,0.04
3.630,0.04,-0.01,-0.02,0.05
3.640,0.04,-0.02,-0.02,0.05
3.650,0.05,0.01,0.02,0.05
3.660,0.05,0.03,0.03,0.06
3.670,0.04,0.04,0.04,0.07
3.680,0.03,0.06,0.03,0.07
3.690,-0.00,0.05,0.00,0.05
3.701,-0.01,0.01,0.01,0.02
3.711,0.01,-0.05,0.04,0.07
3.721,0.04,-0.09,0.07,0.12
3.731,0.08,-0.13,0.09,0.17
3.741,0.11,-0.12,0.09,0.19
3.751,0.14,-0.08,0.09,0.18
3.761,0.14,-0.02,0.07,0.16
3.771,0.10,0.01,0.06,0.12
3.781,0.05,0.01,0.05,0.08
3.791,0.02,0.01,0.03,0.04
3.801,-0.03,0.00,0.02,0.03
3.811,-0.03,0.01,0.03,0.04
3.821,-0.04,0.01,0.03,0.05
3.831,-0.02,-0.01,0.03,0.03
3.841,-0.00,-0.03,0.02,0.03
3.851,0.03,-0.04,0.03,0.06
3.862,0.07,-0.03,0.06,0.09
3.872,0.09,-0.04,0.05,0.11
3.882,0.09,-0.03,0.03,0.10
3.892,0.05,0.01,0.02,0.06
3.902,0.03,-0.00,-0.01,0.03
3.912,0.02,0.00,-0.01,0.02
3.922,0.02,-0.01,0.04,0.04
3.932,0.04,-0.03,0.06,0.08
3.942,0.03,-0.02,0.04,0.06
3.952,0.02,-0.01,0.01,0.03
3.962,-0.00,0.00,-0.01,0.01
3.972,-0.02,-0.00,-0.03,0.04
3.982,-0.04,-0.00,-0.02,0.05
3.992,-0.02,0.02,-0.03,0.04
4.002,0.01,0.03,-0.03,0.05
4.012,0.02,0.04,-0.02,0.05
4.022,0.03,0.04,-0.03,0.06
4.032,0.02,0.02,-0.05,0.05
4.042,0.01,0.02,-0.05,0.06
4.053,-0.01,-0.01,-0.04,0.04
4.063,-0.01,-0.03,0.01,0.04
4.073,0.02,-0.04,0.06,0.08
4.083,0.07,-0.03,0.09,0.12
4.093,0.09,-0.02,0.07,0.11
4.103,0.09,-0.02,0.04,0.10
4.113,0.05,-0.02,0.01,0.06
4.123,0.04,-0.02,-0.00,0.04
4.133,0.03,-0.02,-0.00,0.04
4.143,0.02,-0.02,0.01,0.03
4.153,0.02,-0.01,0.00,0.02
4.163,0.01,0.02,-0.01,0.02
4.173,-0.02,-0.02,0.01,0.03
4.183,-0.02,-0.03,0.00,0.04
4.193,-0.00,-0.02,-0.01,0.03
4.203,0.01,-0.00,0.01,0.02
4.213,0.02,0.02,-0.02,0.03
4.224,-0.01,0.00,-0.03,0.03
4.233,0.00,-0.02,0.01,0.02
4.244,0.04,-0.00,0.01,0.04
4.254,0.07,0.02,-0.00,0.08
4.264,0.10,0.05,-0.04,0.12
4.274,0.09,0.05,-0.04,0.11
4.284,0.08,0.04,-0.04,0.10
4.294,0.05,-0.03,-0.02,0.06
4.304,0.01,-0.07,-0.01,0.07
4.314,0.01,-0.08,0.02,0.08
4.324,0.02,-0.07,0.08,0.11
4.334,0.04,-0.04,0.13,0.15
4.344,0.06,-0.02,0.14,0.16
4.354,0.05,-0.03,0.13,0.14
4.364,0.03,-0.01,0.11,0.12
4.374,0.02,-0.01,0.06,0.07
4.384,0.01,-0.03,0.04,0.05
4.394,0.01,-0.03,0.04,0.05
4.405,0.01,-0.04,0.06,0.07
4.415,0.02,-0.05,0.07,0.08
4.425,0.02,-0.03,0.05,0.06
4.435,0.02,-0.01,0.00,0.02
4.445,0.01,0.01,-0.05,0.05
4.455,0.02,0.03,-0.08,0.09
4.465,-0.01,0.05,-0.09,0.10
4.475,-0.02,0.04,-0.08,0.10
4.485,-0.00,0.03,-0.07,0.07
4.495,0.04,0.00,-0.04,0.05
4.505,0.06,0.00,-0.02,0.06
4.515,0.05,-0.03,-0.01,0.06
4.525,0.03,-0.03,-0.01,0.04
4.535,0.05,-0.03,-0.00,0.06
4.545,0.05,-0.03,-0.01,0.06
4.555,0.03,0.00,-0.01,0.03
4.565,0.03,0.01,-0.01,0.03
4.575,0.03,0.03,-0.00,0.04
4.585,0.04,0.05,-0.04,0.07
4.596,0.02,0.04,-0.05,0.07
4.606,-0.01,0.03,-0.06,0.06
4.616,-0.02,-0.00,-0.05,0.06
4.626,-0.01,-0.01,-0.01,0.02
4.636,0.02,-0.02,-0.01,0.03
4.646,0.03,-0.02,-0.02,0.05
4.656,0.03,-0.01,-0.01,0.04
4.666,0.05,-0.02,0.01,0.06
4.676,0.04,-0.03,0.03,0.06
4.686,0.02,-0.02,0.07,0.07
4.696,0.01,-0.01,0.09,0.09
4.706,-0.01,0.02,0.08,0.08
4.716,-0.02,0.02,0.04,0.05
4.726,-0.05,0.01,0.02,0.05
4.736,-0.06,-0.02,0.02,0.07
4.746,-0.02,-0.03,0.00,0.04
4.756,0.03,-0.02,-0.02,0.04
4.767,0.05,-0.01,-0.03,0.06
4.776,0.07,0.00,-0.03,0.08
4.787,0.06,0.01,-0.03,0.07
4.797,0.00,0.01,-0.04,0.05
4.807,-0.02,0.02,-0.04,0.05
4.817,-0.04,0.01,-0.03,0.05
4.827,-0.05,-0.01,0.01,0.06
4.837,-0.03,-0.02,0.04,0.05
4.847,0.03,0.00,0.07,0.07
4.857,0.11,0.02,0.08,0.13
4.867,0.12,0.02,0.06,0.13
4.877,0.12,-0.00,0.06,0.14
4.887,0.11,-0.03,0.07,0.13
4.897,0.11,-0.08,0.07,0.15
4.907,0.09,-0.13,0.06,0.16
4.917,0.10,-0.09,0.06,0.15
4.927,0.09,-0.05,0.07,0.12
4.937,0.09,-0.00,0.06,0.10
4.948,0.06,0.01,0.05,0.08
4.958,0.03,0.00,0.04,0.05
4.968,0.00,-0.01,0.02,0.02
4.978,0.01,-0.01,-0.01,0.02
4.988,-0.01,-0.01,-0.04,0.04
4.998,-0.03,0.00,-0.05,0.06
5.008,-0.05,0.01,-0.04,0.07
5.018,-0.06,0.03,-0.03,0.07
5.028,-0.05,0.05,-0.01,0.08
5.038,-0.03,0.06,0.01,0.06
5.048,-0.02,0.03,0.02,0.04
5.058,-0.01,0.02,-0.01,0.02
5.068,-0.02,-0.01,-0.02,0.03
5.078,-0.00,-0.03,-0.03,0.04
5.088,0.05,-0.03,-0.03,0.06
5.098,0.07,-0.01,-0.01,0.08
5.108,0.07,0.01,-0.01,0.07
5.118,0.06,0.02,-0.01,0.07
5.129,0.02,0.00,0.02,0.03
5.139,0.01,-0.03,0.05,0.06
5.149,0.03,-0.02,0.03,0.05
5.159,0.03,0.00,0.00,0.03
5.169,0.03,-0.00,0.00,0.03
5.179,0.03,0.01,0.02,0.04
5.189,0.03,-0.00,0.01,0.04
5.199,0.03,-0.01,0.00,0.03
5.209,0.02,-0.03,0.01,0.04
5.219,0.03,-0.03,-0.00,0.05
5.229,0.03,-0.02,-0.00,0.03
5.239,0.05,-0.00,-0.01,0.05
5.249,0.04,0.01,-0.04,0.06
5.259,0.06,0.03,-0.03,0.07
5.269,0.05,0.04,-0.05,0.08
5.279,0.03,0.03,-0.01,0.05
5.290,0.02,-0.00,0.06,0.07
5.299,0.01,-0.04,0.10,0.10
5.309,0.00,-0.05,0.09,0.10
5.320,-0.02,-0.03,0.07,0.08
5.330,-0.02,-0.03,0.05,0.06
5.340,-0.02,-0.02,0.02,0.04
5.350,-0.03,0.00,0.01,0.03
5.360,-0.01,-0.01,0.01,0.02
5.370,0.03,-0.01,0.07,0.07
5.380,0.04,-0.02,0.08,0.09
5.390,0.03,-0.02,0.06,0.07
5.400,0.03,-0.02,0.06,0.07
5.410,0.00,-0.04,0.02,0.04
5.420,-0.01,-0.04,0.03,0.05
5.430,0.01,-0.02,0.05,0.05
5.440,0.05,-0.01,0.05,0.06
5.450,0.09,0.00,0.03,0.09
5.460,0.08,0.01,0.01,0.09
5.470,0.06,0.05,-0.01,0.08
5.480,0.04,0.05,-0.02,0.07
5.491,0.02,0.01,0.00,0.02
5.501,0.03,-0.06,0.02,0.07
5.511,0.06,-0.09,0.03,0.11
5.521,0.07,-0.09,0.08,0.14
5.531,0.10,-0.06,0.05,0.13
5.541,0.09,-0.01,0.01,0.09
5.551,0.04,0.02,-0.03,0.06
5.561,0.01,0.03,-0.06,0.06
5.571,-0.03,0.03,-0.01,0.04
5.581,-0.03,0.02,0.01,0.04
5.591,-0.05,0.01,0.02,0.05
5.601,-0.03,0.01,0.03,0.04
5.611,-0.01,0.01,0.00,0.02
5.621,-0.01,0.02,-0.04,0.05
5.631,-0.00,0.02,-0.08,0.08
5.641,0.01,0.01,-0.11,0.11
5.651,0.00,0.01,-0.12,0.12
5.662,0.02,0.02,-0.07,0.07
5.672,0.01,0.03,-0.03,0.05
5.682,0.02,0.01,0.01,0.03
5.692,0.03,0.00,-0.00,0.03
5.702,0.01,-0.02,0.00,0.02
5.712,0.01,-0.02,0.01,0.02
5.722,0.02,-0.01,-0.00,0.02
5.732,0.02,-0.02,-0.01,0.03
5.742,0.04,-0.01,-0.01,0.04
5.752,0.03,-0.00,0.02,0.03
5.762,0.03,-0.00,0.01,0.03
5.772,0.02,0.01,0.00,0.02
5.782,-0.01,0.02,-0.02,0.03
5.792,0.00,0.03,-0.02,0.04
5.802,-0.00,0.03,-0.05,0.06
5.812,-0.00,0.01,-0.05,0.05
5.822,-0.00,0.00,-0.04,0.04
5.832,-0.00,-0.03,-0.01,0.03
5.842,0.01,-0.03,-0.01,0.03
5.853,0.01,-0.02,0.00,0.02
5.863,0.02,-0.03,0.02,0.04
5.873,0.04,-0.02,0.04,0.06
5.883,0.05,0.01,0.05,0.07
5.893,0.06,0.02,0.08,0.10
5.903,0.06,-0.01,0.08,0.10
5.913,0.06,-0.03,0.09,0.11
5.923,0.06,-0.04,0.11,0.13
5.933,0.05,-0.04,0.12,0.14
5.943,0.06,-0.06,0.13,0.15
5.953,0.06,-0.05,0.11,0.14
5.963,0.08,-0.06,0.08,0.12
5.973,0.09,-0.04,0.04,0.10
5.983,0.08,-0.01,0.02,0.08
5.993,0.06,0.01,-0.01,0.06
6.003,0.03,0.01,-0.00,0.03
6.014,-0.03,-0.01,-0.01,0.03
6.024,-0.06,-0.01,0.02,0.06
6.034,-0.06,-0.00,0.04,0.08
6.044,-0.04,0.02,0.05,0.07
6.054,0.02,0.02,0.03,0.04
6.064,0.05,0.02,0.00,0.05
6.074,0.03,0.01,-0.01,0.03
6.084,0.02,-0.02,-0.00,0.03
6.094,0.04,-0.05,0.03,0.08
6.104,0.05,-0.08,0.04,0.11
6.114,0.04,-0.06,0.04,0.08
6.124,0.04,-0.03,0.03,0.06
6.134,0.02,0.00,-0.00,0.02
