time,ax,ay,az,atotal
4.607,-0.01,0.06,0.04,0.07
4.617,-0.00,0.05,0.01,0.06
4.627,0.01,0.05,-0.01,0.05
4.637,0.02,0.04,-0.03,0.05
4.647,0.02,0.03,-0.02,0.04
4.657,0.03,0.01,-0.01,0.03
4.667,0.03,0.00,0.02,0.04
4.677,0.04,-0.02,0.01,0.04
4.687,0.04,-0.03,0.02,0.05
4.697,0.01,-0.03,0.04,0.05
4.707,-0.02,-0.00,0.02,0.03
4.717,-0.03,0.01,0.01,0.03
4.727,-0.01,0.00,0.01,0.02
4.737,0.01,-0.03,0.02,0.04
4.747,0.03,-0.05,0.02,0.06
4.757,0.03,-0.08,0.03,0.09
4.767,0.02,-0.07,0.02,0.08
4.777,0.01,-0.06,-0.01,0.06
4.787,-0.02,-0.04,0.01,0.05
4.798,-0.04,-0.00,0.03,0.05
4.808,-0.05,0.03,0.04,0.07
4.818,-0.03,0.02,0.05,0.07
4.828,0.01,0.02,0.04,0.05
4.838,0.03,0.02,0.01,0.04
4.848,0.04,0.01,-0.00,0.04
4.858,0.01,0.01,0.01,0.02
4.868,0.01,0.00,0.01,0.02
4.878,-0.02,0.00,0.01,0.03
4.888,-0.03,0.03,0.00,0.04
4.898,-0.02,0.03,0.01,0.04
4.908,-0.02,0.01,0.03,0.04
4.918,-0.01,0.01,0.03,0.03
4.928,0.01,-0.01,0.03,0.03
4.938,0.04,-0.02,0.02,0.05
4.948,0.03,-0.04,0.03,0.06
4.959,0.01,-0.04,-0.00,0.04
4.969,0.00,-0.05,0.00,0.05
4.979,-0.02,-0.03,0.00,0.03
4.989,-0.00,-0.01,0.01,0.02
4.999,0.01,0.01,0.03,0.04
5.009,0.02,0.02,0.06,0.07
5.019,0.04,0.03,0.04,0.06
5.029,0.05,0.00,0.02,0.05
5.039,0.03,-0.02,0.01,0.04
5.049,0.00,-0.04,-0.01,0.04
5.059,-0.04,-0.03,-0.02,0.05
5.069,-0.04,-0.02,-0.02,0.05
5.079,-0.03,-0.00,-0.03,0.04
5.089,-0.02,0.02,0.03,0.04
5.099,-0.02,0.03,0.05,0.06
5.109,0.02,0.02,0.05,0.06
5.119,0.04,0.00,0.04,0.05
5.129,0.03,-0.02,0.02,0.04
5.140,0.02,-0.03,0.04,0.06
5.150,-0.00,-0.03,0.03,0.04
5.160,-0.02,-0.01,0.02,0.03
5.170,0.01,0.03,0.02,0.04
5.180,0.05,0.05,0.02,0.07
5.190,0.05,0.08,-0.02,0.10
5.200,0.02,0.10,-0.04,0.11
5.210,0.01,0.08,-0.02,0.08
5.220,-0.02,0.01,-0.01,0.02
5.230,-0.03,-0.05,0.06,0.09
5.240,-0.03,-0.11,0.09,0.15
5.250,-0.03,-0.14,0.09,0.17
5.260,-0.03,-0.13,0.03,0.13
5.270,-0.02,-0.08,-0.02,0.08
5.280,-0.03,-0.03,-0.02,0.04
5.290,-0.04,0.01,0.01,0.05
5.301,-0.04,0.02,0.06,0.07
5.310,-0.01,0.03,0.07,0.08
5.321,0.03,0.03,0.06,0.07
5.331,0.05,0.01,0.04,0.07
5.341,0.04,0.00,0.02,0.04
5.351,0.01,-0.02,0.00,0.02
5.361,-0.01,0.00,-0.01,0.02
5.371,0.02,0.04,-0.04,0.06
5.381,0.01,0.04,-0.06,0.07
5.391,0.00,0.03,-0.06,0.07
5.401,0.01,0.03,-0.02,0.04
5.411,0.01,0.03,0.04,0.05
5.421,0.03,0.01,0.06,0.07
5.431,0.03,0.00,0.06,0.07
5.441,0.01,-0.00,0.05,0.05
5.451,0.00,-0.02,0.02,0.03
5.461,0.00,-0.02,-0.01,0.02
5.471,0.00,-0.03,-0.02,0.03
5.481,0.01,-0.02,-0.01,0.02
5.491,-0.01,-0.03,0.00,0.03
5.502,-0.02,-0.02,0.03,0.04
5.512,-0.02,-0.03,0.07,0.08
5.522,-0.02,-0.06,0.05,0.08
5.532,-0.02,-0.06,0.07,0.10
5.542,-0.01,-0.07,0.07,0.10
5.552,0.02,-0.04,0.04,0.06
5.562,0.00,0.00,-0.01,0.01
5.572,0.01,0.02,-0.03,0.04
5.582,0.00,0.03,-0.01,0.03
5.592,-0.02,0.03,0.03,0.05
5.602,-0.03,0.03,0.07,0.08
5.612,-0.02,0.02,0.09,0.09
5.622,-0.01,0.01,0.06,0.06
5.632,0.03,-0.00,0.04,0.05
5.642,0.01,-0.02,0.03,0.04
5.652,0.00,-0.04,-0.01,0.04
5.663,0.01,-0.01,-0.02,0.02
5.673,0.01,0.02,-0.03,0.03
5.683,0.00,0.02,-0.03,0.04
5.693,-0.00,0.01,-0.04,0.04
5.703,0.00,0.00,0.01,0.01
5.713,-0.01,-0.03,0.03,0.04
5.723,0.03,-0.05,0.02,0.06
5.733,0.04,-0.06,0.00,0.07
5.743,0.04,-0.07,-0.01,0.09
5.753,0.02,-0.07,-0.02,0.08
5.763,-0.01,-0.07,-0.04,0.08
5.773,-0.03,-0.04,-0.02,0.06
5.783,-0.05,-0.04,-0.02,0.07
5.793,-0.07,-0.03,-0.04,0.08
5.803,-0.06,-0.01,-0.04,0.07
5.813,-0.06,-0.02,-0.02,0.07
5.823,-0.05,-0.00,0.00,0.05
5.834,-0.07,-0.01,0.03,0.07
5.844,-0.08,0.01,0.05,0.09
5.854,-0.05,0.02,0.04,0.07
5.864,-0.06,0.02,0.02,0.07
5.874,-0.06,-0.00,-0.00,0.06
5.884,-0.07,-0.01,-0.00,0.07
5.894,-0.07,-0.01,0.02,0.08
5.904,-0.03,-0.01,0.07,0.08
5.914,-0.00,-0.01,0.10,0.10
5.924,0.01,0.01,0.12,0.12
